Name,Location,Description,Category,BestSeason,Timings,Rating,Reviews,Price,keywords,url
Vagamon,Idukki,"A hill station with lush green meadows, tea gardens, and a serene environment, perfect for trekking and paragliding.",Hill Station / Adventure,September to May,Open 24 hours,4.5,Beautiful landscapes and peaceful surroundings.; Great place for adventure sports.,Entry is free; costs vary for activities and accommodations.,"Vagamon Pine Forest, Vagamon Meadows, Thangalpara, Kurisumala, Vagamon Lake, Suicide Point, Paragliding, Trekking, Tea Gardens, Vagamon Falls, Murugan Mala, Pine Hills, Ulipooni Wildlife Sanctuary, Adventure Sports, Mooppanpara, Green Meadows, Meadows & Valleys, Hill Station, Orchid Garden",https://t4.ftcdn.net/jpg/05/49/62/21/360_F_549622116_I7cPJ55y3mqdkO3FYd2ovoWfU9jSKUmV.jpg
Thrissur Pooram,Thrissur,"One of the most vibrant and spectacular temple festivals in Kerala, known for its colorful processions and fireworks.",Cultural / Festival,April to May,Festival timing,4.8,A visual and cultural treat.; A must-experience festival.,Free to attend; additional charges for certain viewing areas.,"Vadakkunnathan Temple, Elephants Parade, Fireworks, Kudamattom, Ilanjithara Melam, Thiruvambadi, Paramekkavu, Cultural Festival, Traditional Drums, Processions, Thrissur Swaraj Round, Caparisoned Elephants, Temple Festival, Kerala's Largest Festival, Rituals, Colorful Umbrellas, Folk Art, Temple Elephants, Musical Ensemble",https://media.istockphoto.com/id/681122092/photo/indian-elephant-pageant.jpg?s=612x612&w=0&k=20&c=TPHfNmUH4bTeBijzs0ofYUY57zFbrc1RaOkxOX2H05c=
Padmanabhaswamy Temple,Thiruvananthapuram,"A historic temple dedicated to Lord Vishnu, famous for its intricate architecture and immense wealth.",Religious / Cultural,October to March,3:30 AM to 7:20 PM,4.7,Stunning temple architecture.; Spiritually enriching experience.,Free entry; donations accepted.,"Ananthapadmanabhaswamy, Vishnu Temple, Gold Treasure, Temple Vaults, Travancore Royal Family, Murals, Kallara, Sanctum Sanctorum, Sree Padmanabhaswamy, Temple Architecture, Rituals, Festivals, Idol, Dravidian Style, Temple Tank, Gopuram, Sacred Grove, Pilgrimage, Divine Idol",https://t3.ftcdn.net/jpg/04/33/94/16/360_F_433941663_OZlC66JZEXBKj8mZFS8bvwEd7SqZ28zH.jpg
Kerala Folklore Museum,Kochi,"A museum showcasing Kerala's rich cultural heritage through artifacts, costumes, and performances.",Cultural / Educational,October to March,9:00 AM to 6:00 PM,4.5,Informative and interesting exhibits.; Great place to learn about Kerala's culture.,??100 per adult.,"Traditional Artifacts, Folk Art, Masks, Kathakali, Theyyam, Murals, Costumes, Musical Instruments, Puppetry, Antiques, Cultural History, Performances, Wooden Architecture, Heritage, Ethnic Art, Tribal Art, Traditional Dance Forms, Handicrafts, Historical Exhibits",https://www.keralatourism.org/images/picture/large/Kerala_Folklore_Theatre_and_Museum_Thevara_1812.jpg
Chembra Peak,Wayanad,"The highest peak in Wayanad, known for its heart-shaped lake and panoramic views, ideal for trekking.",Nature / Adventure,September to February,7:00 AM to 5:00 PM,4.6,Breathtaking views from the top.; Challenging but rewarding trek.,??750 per 10 people for trekking.,"Trekking, Heart-shaped Lake, Scenic Viewpoints, Wayanad, Meppadi, Hiking, Wildlife, Sunrise, Photography, Adventure, Highest Peak, Misty Mountains, Eco-tourism, Trekking Permit, Forest Trails, Picnic Spot, Camping, Bird Watching, Natural Beauty, Hill Station",https://as2.ftcdn.net/v2/jpg/04/46/74/27/1000_F_446742747_hyDLEsy9sYs1ruz3q6hKYeWDlysGrnuB.jpg
Kumarakom Bird Sanctuary,Kumarakom,"A paradise for bird watchers, located on the banks of Vembanad Lake and home to many migratory birds.",Nature / Wildlife,November to February,6:30 AM to 5:00 PM,4.5,Great spot for bird watching.; Peaceful and scenic location.,??50 per adult.,"Migratory Birds, Vembanad Lake, Bird Watching, Boating, Siberian Crane, Wetlands, Nature Walks, Backwaters, Bird Photography, Egrets, Herons, Kingfishers, Wildlife Sanctuary, Bird Habitat, Canoeing, Eco-tourism, Ornithology, Birding, Seasonal Birds, Bird Species",https://www.keralatourism.org/images/enchanting_kerala/large/kumarakom_bird_sanctuary20220607174832_1195_1.jpg
Poovar Island,Thiruvananthapuram,"A beautiful island near the Neyyar River estuary, known for its golden sand beaches and serene backwaters.",Beach / Nature,October to March,Open 24 hours,3.9,Serene and less crowded beach.; Perfect for a quiet getaway.,Boat rides range from ??1000 to ??3000.,"Golden Sand Beach, Backwater Cruise, Estuary, Floating Cottages, Mangrove Forests, Fishing Village, Water Sports, Ayurvedic Treatments, Boating, Sunset View, Elephant Rock, Bird Watching, Serene Beaches, Scenic Beauty, Houseboats, Poovar Beach, Local Cuisine, Eco-tourism, Island Resort",https://travelentice.com/wp-content/uploads/2021/11/Poovar-Island-in-Kerala-f-1024x576.jpg
Meenmutty Waterfalls,Wayanad,"A three-tiered waterfall located in the lush greenery of Wayanad, ideal for trekking and nature lovers.",Nature / Waterfall,September to February,9:00 AM to 5:30 PM,4.5,Beautiful waterfall in a natural setting.; Worth the trek.,??30 per adult.,"Three-tier Waterfall, Trekking, Wayanad, Scenic Beauty, Hiking, Natural Pool, Dense Forest, Adventure, Photography, Picnic Spot, Waterfall Viewpoint, Eco-tourism, Freshwater, Rocky Terrain, Misty Environment, Nature Trails, Bird Watching, Nearby Plantations, Serenity",https://wayanadfort.com/images/meenmutty-water-falls-wayanad.jpg
Ponmudi,Thiruvananthapuram,"A scenic hill station with winding pathways and lush green surroundings, perfect for trekking and nature walks.",Hill Station / Nature,November to March,Open 24 hours,4.5,Beautiful hill station with stunning views.; Great for a day trip.,??50 per adult; accommodation costs vary.,"Hill Station, Golden Peak, Trekking, Tea Gardens, Wildlife, Scenic Beauty, Agasthyakoodam, Misty Mountains, Kallar River, Waterfalls, Forest Trails, Peppara Wildlife Sanctuary, Bird Watching, Adventure Sports, Eco-tourism, Golden Valley, Plantation Walks, Sunrise View, Picnic Spot",https://i.pinimg.com/736x/08/79/db/0879db8337df285faa5de206c70ace59.jpg
Mattancherry Palace,Kochi,"Also known as the Dutch Palace, this museum showcases Kerala's history through murals and artifacts.",Historical / Cultural,October to March,10:00 AM to 5:00 PM,3.9,Well-preserved historical site.; Fascinating exhibits.,??5 per adult.,"Dutch Palace, Murals, Portraits, Kochi, Portuguese Architecture, Historical Artifacts, Hindu Temple, Coronation Hall, Kerala History, Royal Art, Dutch Influence, Frescoes, Ethnic Art, Palace Museum, Portuguese Influence, Heritage Site, Mythological Scenes, 16th Century, Maharaja's Palace, Cultural Treasure",https://www.holidify.com/images/cmsuploads/compressed/attr_1101_20190412091253.jpg
Marari Beach,Alappuzha,"A quiet and pristine beach, ideal for relaxing and enjoying the natural beauty of Kerala's coastline.",Beach / Leisure,October to March,Open 24 hours,4.5,Clean and serene beach.; Perfect for a peaceful retreat.,Entry is free; costs may vary for beachside activities.,"Golden Sand, Serene Beach, Fishermen Village, Ayurvedic Massage, Coconut Trees, Beach Resorts, Sea Breeze, Water Sports, Sunset View, Peaceful Atmosphere, Mararikulam, Local Cuisine, Scenic Beauty, Beach Huts, Relaxation, Hammocks, Palm Groves, Coastal Line, Shell Collecting, Tranquil Waters",https://t3.ftcdn.net/jpg/02/48/29/80/360_F_248298080_IgVxBMeFPd80WSkfUTyz30tXBgLad3il.jpg
Anamudi Peak,Idukki,"The highest peak in South India, located in the Eravikulam National Park, popular for trekking and wildlife.",Nature / Adventure,September to May,8:00 AM to 4:00 PM,4.7,Stunning views from the summit.; Challenging but worth it trek.,"??125 per adult (Indian), ??420 per adult (foreigner).","Highest Peak, Western Ghats, Trekking, Eravikulam National Park, Wildlife, Scenic Views, Adventure, Misty Mountains, Flora and Fauna, Photography, Hiker's Paradise, Grasslands, Mountain Climbing, Biodiversity, South India's Highest, Adventure Sports, Eco-tourism, Summit, Trekking Permits, Nature Trails",https://www.shutterstock.com/image-photo/tea-garden-foothills-anamudi-peak-600nw-2023339517.jpg
Edakkal Caves,Wayanad,"Ancient caves with Neolithic petroglyphs, offering a glimpse into prehistoric life.",Historical / Adventure,September to May,9:30 AM to 4:30 PM,4.5,Fascinating ancient carvings.; Great for history buffs and adventure seekers.,??20 per adult.,"Prehistoric, Rock Carvings, Wayanad, Ancient Inscriptions, Stone Age, Archaeology, Trekking, Petroglyphs, Cave Paintings, Historical Significance, Neolithic Era, Natural Rock Formations, Adventure, Heritage Site, Ancient Civilization, Cave Exploration, Hiking, Cultural History, Anthropological Site, Prehistoric Art",https://as1.ftcdn.net/v2/jpg/02/80/71/92/1000_F_280719273_AJ2hs9InFxkrvo8zP5F2yvGpSLzgQvwR.jpg
Nelliampathy,Palakkad,"A picturesque hill station with lush tea and coffee plantations, ideal for trekking and nature walks.",Hill Station / Nature,September to February,Open 24 hours,4.5,Beautiful scenery and peaceful environment.; Great for a relaxing getaway.,Entry is free; accommodation costs vary.,"Hill Station, Tea Plantations, Scenic Views, Trekking, Coffee Plantations, Dense Forest, Wildlife, Misty Mountains, Adventure, Nelliampathy Hills, Photography, Parambikulam, Eco-tourism, Pothundy Dam, Orange Orchards, Nature Trails, Shola Forests, Cloud-capped Peaks, Picnic Spots, Cardamom Estates",https://w0.peakpx.com/wallpaper/117/800/HD-wallpaper-hill-kerala-kerala-mountains-mountain-nelliyampathy.jpg
Guruvayur Temple,Thrissur,"A major pilgrimage site dedicated to Lord Krishna, known for its spiritual significance.",Religious / Cultural,October to February,3:00 AM to 9:15 PM,4.7,A serene and sacred place.; Divine experience.,Free entry; donations accepted.,"Krishna Temple, Elephant Sanctuary, Pilgrimage, Devotional Songs, Temple Rituals, Prasadam, Traditional Architecture, Kerala Temple, Religious Ceremonies, Divine Idol, Holy Shrine, Temple Festivals, Historic Temple, Guruvayur Devaswom, Wedding Ceremonies, Divine Atmosphere, Temple Elephants, Cultural Heritage, Kerala Tradition, Spiritual Hub",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEihxi4X8mDzkEZ6EZulT1f2wri9TsNYNxrnefJ9GWvdXecVwGQEVVMmV-MDI2e4R-s_aVsENx1P2XCYSx8-3Hl8Vbo-t-npkhSy34qtxXi6-eRKwFYMgXtvCz9TzdMvbt1Jsy5OTeH38r0D/w640-h386/guruvayur-780x470.jpg
Parambikulam Wildlife Sanctuary,Palakkad,"A biodiversity hotspot with rich flora and fauna, perfect for wildlife enthusiasts.",Wildlife / Nature,November to March,7:00 AM to 6:00 PM,4.6,Amazing wildlife experience.; Well-preserved sanctuary.,"??50 per adult (Indian), ??200 per adult (foreigner).","Wildlife Reserve, Tiger Reserve, Forest Trekking, Boating, Wildlife Watching, Indigenous Tribes, Trekking Trails, Biodiversity, Bamboo Rafting, Nature Camps, Parambikulam Dam, Bird Watching, Lion-tailed Macaque, Western Ghats, Eco-tourism, River Valleys, Nature Conservation, Jungle Safaris, Thick Forests, Conservation Efforts",https://yatramantra.com/wp-content/uploads/2019/09/Parambikulam_Wildlife_Sanctuary-780x588.png
Banasura Sagar Dam,Wayanad,"One of the largest earthen dams in India, surrounded by beautiful hills and a popular picnic spot.",Nature / Scenic,September to May,9:00 AM to 5:00 PM,4.5,Picturesque location.; Ideal for family outings and picnics.,??10 per adult.,"Reservoir, Scenic Views, Boating, Trekking, Wayanad, Hydroelectric Project, Nature Trails, Adventure Sports, Island Formations, Picnic Spot, Earth Dam, Speed Boating, Wildlife, Photography, Water Sports, Hill Station, Eco-tourism, Dense Forests, Natural Beauty, Kayaking",https://www.banasura.com/image/650x433xbanasura-sagar-dam-wayanad-earthen-dam.jpg
Chottanikkara Temple,Ernakulam,"A famous Hindu temple dedicated to the goddess Bhagavathy, known for its healing powers.",Religious / Cultural,October to March,4:00 AM to 8:45 PM,4.6,Spiritually uplifting experience.; Well-maintained temple.,Free entry; donations accepted.,"Bhagavathy Temple, Healing Shrine, Devotional Rituals, Goddess Rajarajeshwari, Temple Festivals, Traditional Architecture, Prayers, Sacred Grove, Pilgrimage, Holy Shrine, Kerala Temple, Spiritual Healing, Religious Ceremonies, Cultural Heritage, Divine Idol, Temple Pond, Historic Temple, Votive Offerings, Hindu Worship, Temple Complex",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Chottanikkara_Temple.jpg/640px-Chottanikkara_Temple.jpg
Thommankuthu Waterfalls,Idukki,"A seven-step waterfall offering a scenic and serene environment, perfect for nature lovers.",Nature / Waterfall,September to February,8:00 AM to 5:00 PM,4.5,Beautiful and peaceful spot.; Great for a day trip.,??10 per adult.,"Seven-step Waterfall, Trekking, Idukki, Scenic Beauty, Nature Trails, Adventure, Picnic Spot, Natural Pool, Hiking, Dense Forest, Waterfall Viewpoint, Eco-tourism, Photography, River Bathing, Wildlife, Misty Environment, Freshwater, Rock Formations, Serenity, Plunge Pool",https://c1.wallpaperflare.com/preview/594/251/696/place-thommankuthu-state-kerala-country-india-pic-taken-with-mobile-cam.jpg
Hill Palace Museum,Ernakulam,"The largest archaeological museum in Kerala, showcasing royal artifacts and history.",Historical / Cultural,October to March,9:00 AM to 5:00 PM,4.5,Rich in history and culture.; Well-maintained exhibits.,??30 per adult.,"Royal Palace, Archaeological Museum, Kochi, Heritage, Art Gallery, Kerala History, Antiquities, Maharaja's Palace, Historical Artifacts, Palace Gardens, Numismatics, Throne, Crown Jewels, Traditional Architecture, Cultural Exhibits, Archaeological Relics, Weaponry, Bronze Artifacts, Heritage Building, Colonial Architecture",https://www.keralatourism.org/images/picture/large/Hill_Palace_Museum_2797.jpg
Malampuzha Dam,Palakkad,"A scenic dam with beautiful gardens, a rock garden, and a ropeway, ideal for family outings.",Nature / Leisure,October to March,10:00 AM to 6:00 PM,3.9,Great place for a family outing.; Beautiful gardens and views.,??25 per adult.,"Reservoir, Garden, Boating, Ropeway, Malampuzha, Scenic Views, Rock Garden, Picnic Spot, Hydroelectric Project, Water Sports, Aquarium, Sculpture Park, Children's Park, Flower Beds, Adventure, Trekking, Photography, Snake Park, Irrigation, Amusement Park",https://keralaphotos.in/wp-content/uploads/2014/05/natural-pictures-kerala-tourism-800x509.jpg
Pookode Lake,Wayanad,"A natural freshwater lake surrounded by lush greenery, offering boating and scenic views.",Nature / Leisure,September to May,9:00 AM to 5:00 PM,4.5,Serene and picturesque location.; Ideal for boating and picnics.,??20 per adult.,"Freshwater Lake, Boating, Wayanad, Scenic Beauty, Pedal Boats, Picnic Spot, Nature Walks, Aquatic Life, Photography, Fish Aquarium, Serene Waters, Forest Surroundings, Eco-tourism, Children's Park, Water Lily, Birds, Natural Lake, Relaxation, Wildlife, Lush Greenery",https://www.keralatourism.org/images/picture/hri/Pookode_Lake_Wayanad_2657.jpg
Kozhikode Beach,Kozhikode,"A popular beach known for its stunning sunsets, piers, and seafood shacks.",Beach / Leisure,October to March,Open 24 hours,3.9,Great for an evening stroll.; Delicious seafood available.,Entry is free.,"Sunset View, Beach Walk, Seafood, Kozhikode, Historical Pier, Dolphin's Point, Water Sports, Lighthouse, Lion's Park, Sand, Local Cuisine, Fishing, Scenic Beauty, Evening Strolls, Coastal Line, Seaside, Beach Activities, Marine Life, Arabian Sea, Relaxation",https://media.istockphoto.com/id/917806594/photo/silhouettes-of-sea-piers-during-sunset-in-calicut.webp?b=1&s=170667a&w=0&k=20&c=cP99IBcMxCBJpGbJRa8N4DzH8ISwu6gQtbk3BGm5o5w=
Thrissur Zoo and State Museum,Thrissur,A well-maintained zoo and museum showcasing a variety of animals and historical artifacts.,Wildlife / Educational,October to March,10:00 AM to 5:15 PM,3.7,Informative and fun outing.; Good collection of animals and exhibits.,??10 per adult.,"Wildlife, Zoological Park, Thrissur, State Museum, Botanical Garden, Historical Artifacts, Reptile House, Animal Enclosures, Cultural Exhibits, Conservation, Birds, Educational Tours, Natural History, Kerala History, Museum Collections, Flora and Fauna, Heritage, Children's Park, Photography, Rare Species",https://lh5.googleusercontent.com/p/AF1QipNGtS1d4OGRevnsVEL_aWshsIf20JvpjYKbQi4z=w252-h189-k-no
Neyyar Wildlife Sanctuary,Thiruvananthapuram,"A wildlife sanctuary offering boating, lion safari, and trekking opportunities.",Wildlife / Adventure,October to March,8:00 AM to 5:00 PM,3.9,Great for wildlife spotting and adventure activities.; Beautiful scenery.,??250 per adult for lion safari.,"Wildlife, Neyyar Dam, Trekking, Lion Safari, Boating, Crocodile Park, Agasthyakoodam, Scenic Beauty, Elephants, Bird Watching, Adventure, Eco-tourism, Nature Trails, Dense Forests, Medicinal Plants, River, Kerala Tourism, Flora and Fauna, Reptiles, Conservation","https://static.wixstatic.com/media/7c5c17_406bebd729f04e15beb06774fa3dcb0c~mv2.jpg/v1/fill/w_640,h_500,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/7c5c17_406bebd729f04e15beb06774fa3dcb0c~mv2.jpg"
Munroe Island,Kollam,"An island formed by the backwaters, known for its scenic beauty and traditional village life.",Nature / Cultural,October to March,Open 24 hours,4.5,Serene and beautiful island.; Great for experiencing local culture.,Entry is free; boat rides vary in cost.,"Backwaters, Canal Cruises, Ashtamudi Lake, Coir Industry, Fishing Village, Traditional Kerala, Houseboats, Scenic Beauty, Canoeing, Village Life, Serene Environment, Birds, Mangrove Forests, Local Culture, Kayaking, Handicrafts, Historical Sites, Waterways, Eco-tourism, Island Retreat",https://www.keralatourism.org/uploads/kerala-365/share-img/munroe-island-a-slice-of-heaven-20211030104120864552.jpg
Kappad Beach,Kozhikode,"A historic beach where Vasco da Gama first landed in India, offering a tranquil environment.",Beach / Historical,October to March,Open 24 hours,3.9,Historical significance and beautiful beach.; Peaceful and less crowded.,Entry is free.,"Historic Landing, Vasco da Gama, Scenic Beach, Rock Formations, Arabian Sea, Golden Sand, Fishing, Coconut Groves, Sunrise View, Coastal Line, Local Culture, Serene Atmosphere, Seafood, Photography, Beach Walks, Tranquil Waters, Boat Rides, Beach Resort, Historical Significance, Water Sports",https://c0.wallpaperflare.com/preview/503/543/618/india-chemancheri-kappad-beach-boats.jpg
Chimmony Wildlife Sanctuary,Thrissur,A lesser-known wildlife sanctuary offering trekking and wildlife spotting opportunities.,Wildlife / Adventure,November to March,7:00 AM to 6:00 PM,3.7,Great for trekking and bird watching.; Peaceful environment.,??10 per adult.,"Wildlife, Thrissur, Trekking, Bird Watching, Dense Forests, Elephant Habitat, Eco-tourism, Nature Trails, Reservoir, Flora and Fauna, Adventure, Bamboo Rafting, Scenic Beauty, Wildlife Photography, Conservation, Jungle Safari, Medicinal Plants, Reptiles, Endangered Species, Biodiversity",https://kerala.me/wp-content/uploads/2015/11/Chimmini.jpg
Kumarakom,Alappuzha,"A cluster of small islands on Vembanad Lake, known for its backwaters and bird sanctuary.",Nature / Leisure,November to February,Open 24 hours,4.6,Beautiful backwaters and bird watching.; Ideal for a peaceful retreat.,Entry is free; houseboat rentals vary.,"Backwaters, Houseboats, Vembanad Lake, Bird Sanctuary, Boating, Scenic Beauty, Traditional Kerala, Fishing, Coconut Groves, Canoeing, Ayurveda, Eco-tourism, Local Cuisine, Village Life, Sunset View, Resort, Mangrove Forests, Houseboat Stays, Bird Watching, Water Sports",https://hblimg.mmtcdn.com/content/hubble/img/tvdestinationimages/mmt/activities/m_Kumarakom_tv_destination_img_3_l_1012_1518.jpg
Aranmula,Pathanamthitta,A heritage village known for its traditional boat race and mirror making.,Cultural / Traditional,August to September (Boat Race),Open 24 hours,4.5,Rich in culture and traditions.; Fascinating boat race experience.,Entry is free.,"Vallam Kali, Snake Boat Race, Aranmula Mirror, Parthasarathy Temple, Traditional Art, Craft Village, Heritage, Festivals, Cultural Center, Handicrafts, Metal Mirror, Temple Architecture, Pilgrimage, Local Traditions, River Pampa, Boat Building, Religious Ceremonies, Folk Art, Vedic Rituals, Annual Regatta",https://media.istockphoto.com/id/500703964/photo/boat-race.jpg?s=612x612&w=0&k=20&c=pJ2t32wpKq2hk2sIbqMaBV3Qvogu6L7pFfh9f8wpcIM=
Veli Tourist Village,Thiruvananthapuram,"A popular picnic spot with a beautiful lake, gardens, and boat rides.",Nature / Leisure,October to March,8:00 AM to 6:00 PM,3.7,Great for a family outing.; Beautiful and well-maintained.,??20 per adult.,"Boating, Veli Lake, Picnic Spot, Floating Bridge, Children's Park, Garden, Sculpture, Beach, Water Sports, Scenic Beauty, Kayaking, Pedal Boats, Fishing, Tourism Village, Sunset View, Nature Walks, Family Outing, Pedestrian Pathway, Lagoon, Restaurant",https://www.keralatourism.org/images/destination/mobile/veli_tourist_village_thiruvananthapuram20131031122531_232_1.jpg
